experiment_id,tree_id,age,mean_rld_cm_cm3,radial_distance_from_stem_m,soil_depth_m,soil_depth_sum_m,rld,fine_roots_weight_kg_per_plant,medium_roots_weight_kg_per_plant,large_roots_weight_kg_per_plant,total_root_to_1m__kg_per_plant,total_toots__kg_per_plant,year,row_location
A,5,14,0.19,0.906583072,-0.903225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.902194357,-1.135483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.985579937,-0.141935484,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.985579937,-0.206451613,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.989968652,-0.451612903,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.989968652,-0.55483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.989968652,-0.683870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.989968652,-0.864516129,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.989968652,-0.95483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.985579937,-1.174193548,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.985579937,-1.290322581,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.985579937,-1.432258065,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.077742947,-0.15483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.073354232,-0.4,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.068965517,-0.683870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.073354232,-1.406451613,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.165517241,-0.141935484,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.165517241,-0.232258065,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.161128527,-0.412903226,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.161128527,-0.529032258,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.161128527,-0.64516129,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.161128527,-0.903225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.165517241,-1.380645161,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.161128527,-1.44516129,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.169905956,-1.587096774,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.253291536,-0.116129032,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-0.24516129,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-0.322580645,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-0.451612903,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
